path	disposition	upstream role	planned UTF-8/document interface
serialize/index/typedarray.ts	unsupported	GC/container dispatch	No target in current document-slot domain
serialize/naive/array.ts	deferred	naive serializer kernel	(source slot/span, writer) -> bytes or required capacity
serialize/naive/bool.ts	deferred	naive serializer kernel	(source slot/span, writer) -> bytes or required capacity
serialize/naive/date.ts	unsupported	naive GC/container serializer	No target in current document-slot domain
serialize/naive/float.ts	deferred	naive serializer kernel	(source slot/span, writer) -> bytes or required capacity
serialize/naive/integer.ts	deferred	naive serializer kernel	(source slot/span, writer) -> bytes or required capacity
serialize/naive/map.ts	unsupported	naive GC/container serializer	No target in current document-slot domain
serialize/naive/raw.ts	unsupported	naive GC/container serializer	No target in current document-slot domain
serialize/naive/set.ts	unsupported	naive GC/container serializer	No target in current document-slot domain
serialize/naive/staticarray.ts	unsupported	naive GC/container serializer	No target in current document-slot domain
serialize/naive/string.ts	deferred	naive serializer kernel	(source slot/span, writer) -> bytes or required capacity
serialize/naive/struct.ts	deferred	naive serializer kernel	(source slot/span, writer) -> bytes or required capacity
serialize/naive/typedarray.ts	unsupported	naive GC/container serializer	No target in current document-slot domain
serialize/simd/string.ts	deferred	SIMD serializer kernel	Bounded UTF-8 SIMD tier after SWAR parity
serialize/swar/string.ts	port	SWAR serializer kernel	(UTF-8 span/overlay, bounded writer) -> bytes or capacity
tsconfig.json	deferred	upstream snapshot build configuration	Replace when assembly2 gets an independent tier build
types.ts	unsupported	json-as GC fixtures and types	No target; arbitrary AS object layouts are out of scope
util/atoi-fast.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/atoi.ts	algorithm donor	scalar or formatting utility	Retain branch and stride ideas at existing parser/writer seam
util/bytes.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/concat.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/eisel-lemire.ts	already implemented	Eisel-Lemire conversion	assembly/eisel-lemire.ts remains authoritative
util/getArrayDepth.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/idofd.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/index.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/isSpace.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/itoa-fast.ts	algorithm donor	scalar or formatting utility	Retain branch and stride ideas at existing parser/writer seam
util/masks.ts	algorithm donor	diagnostic or whole-string utility	Use algorithms in byte-oriented tests or validation
util/memory.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/nextPowerOf2.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/parsefloat-fast.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/prettyWhitespaceSimd.ts	deferred	SIMD utility	Bounded UTF-8 SIMD tier after SWAR parity
util/ptrToStr.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/scanValueEnd.ts	algorithm donor	scalar or formatting utility	Retain branch and stride ideas at existing parser/writer seam
util/scanValueEndSimd.ts	port	SIMD utility	UTF-8 v128 structural/value-end scan with guarded tails and SWAR-oracle differential tests
util/scanValueEndSwar.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/scientific.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/simd-int.ts	deferred	SIMD utility	Bounded UTF-8 SIMD tier after SWAR parity
util/snp.ts	unsupported	UTF-16 runtime-layout allocation or generic helper	No direct target; json-ty owns memory and document layout
util/stringScan.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/swar-int.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/swar.ts	port	scalar/SWAR parsing utility	Bounded UTF-8 span utility with guarded word loads
util/validateJson.ts	algorithm donor	diagnostic or whole-string utility	Use algorithms in byte-oriented tests or validation
